사고번호,사고일시,요일,시군구,도로명주소,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,좌표,좌표계
2021073000100442,2021년 7월 30일 18시,금요일,서울특별시 강남구 논현동,,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,34세,경상,이륜,남,30세,경상,"[203737.31685952, 446072.87295473]",EPSG:5181
2021073100100041,2021년 7월 31일 05시,토요일,서울특별시 노원구 중계동,,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,18세,경상,승용,남,61세,상해없음,"[205804.067999, 460183.4461172]",EPSG:5181
2021073100100128,2021년 7월 31일 11시,토요일,서울특별시 강서구 화곡동,,부상신고사고,0,0,0,1,차대차 - 측면충돌,직진우회전진행방해,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,25세,부상신고,승용,여,57세,상해없음,"[186497.83003894, 449620.62385561]",EPSG:5181
2021073100100495,2021년 7월 31일 21시,토요일,서울특별시 강북구 번동,,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,-,맑음,단일로 - 기타,개인형이동수단(PM),남,17세,상해없음,보행자,여,28세,경상,"[202557.99596157, 460144.13719053]",EPSG:5181
2021080100100057,2021년 8월 1일 09시,일요일,서울특별시 동작구 사당동,,중상사고,0,2,1,0,차대차 - 측면충돌,직진우회전진행방해,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,20세,중상,승용,남,62세,경상,"[197400.79929381, 442502.82966225]",EPSG:5181
2021080100100285,2021년 8월 1일 18시,일요일,서울특별시 강서구 등촌동,,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,-,흐림,단일로 - 기타,개인형이동수단(PM),남,52세,부상신고,승용,남,28세,상해없음,"[186685.32033119, 451610.36802619]",EPSG:5181
2021080300100459,2021년 8월 3일 21시,화요일,서울특별시 중랑구 망우동,,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,41세,부상신고,보행자,남,68세,상해없음,"[208244.47534054, 455406.54058535]",EPSG:5181
2021080500100063,2021년 8월 5일 08시,목요일,서울특별시 강동구 성내동,,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,21세,경상,승용,여,20세,상해없음,"[211953.66967102, 447752.19619032]",EPSG:5181
2021080500100315,2021년 8월 5일 15시,목요일,서울특별시 용산구 효창동,,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,53세,중상,승용,남,48세,기타불명,"[196565.79433103, 449031.91950439]",EPSG:5181
2021080500100486,2021년 8월 5일 19시,목요일,서울특별시 강서구 마곡동,,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),기타불명,미분류,기타불명,자전거,여,25세,경상,"[185019.48838766, 451085.31215096]",EPSG:5181
2021080600100101,2021년 8월 6일 09시,금요일,서울특별시 마포구 염리동,,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,29세,상해없음,보행자,여,65세,중상,"[195039.13280587, 449798.09931369]",EPSG:5181
2021080600100102,2021년 8월 6일 09시,금요일,서울특별시 동작구 상도동,,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,24세,상해없음,승용,여,36세,경상,"[193803.21858182, 444046.32392751]",EPSG:5181
